image_id,main_type,secondary_type
9dcdc12b-7971-40c6-bfcf-554df4711bf4,Bug,Poison
af82ecda-3fdc-4d59-87c3-465daebaa3f1,Psychic,Fairy
67fb262f-7e7a-4cc3-9a66-f3fac8e0ebbe,Rock,nan
7845272e-70d8-4f73-9b2f-58b751ecfde2,Psychic,nan
a2dc6b17-1bbe-4b8d-9050-4bae1dd70aea,Dragon,Psychic
0e61ff53-e782-4972-a9d0-ef6704e97e56,Bug,nan
e84da354-ab0f-4655-b70d-432e72298148,Fighting,nan
9e87a3ea-44c2-4551-aa87-785991b09687,Psychic,nan
b9ecf550-de49-485a-9c64-27dc46d19702,Water,nan
899da9d4-5c34-4685-aa51-4a808a7613c6,Normal,nan
c2e14945-0f4b-49e9-8803-3766afe82b1c,Fighting,nan
c6814ff8-7721-4248-8d28-08f3683acaab,Poison,Dragon
6da91492-34c6-4833-9bed-8409b5696e1c,Psychic,nan
094f067d-afc8-4326-83be-50e36ae796be,Dark,nan
2f147e18-8650-47dc-ab36-00344e4624ff,Normal,nan
c2a64de6-b1c5-4f28-b3ac-5ac9812b3448,Water,nan
b245df3b-4a2b-46c6-81b0-7f8336cd4c0c,Fighting,Psychic
ed700374-8aa2-4339-aa2c-03f7588876c3,Fire,nan
495bcf96-f0da-4b8d-9f6d-5cf100ee37af,Grass,Poison
8c557c19-4d88-4da3-8115-a9aabcd75f5f,Water,nan
2753d9b1-f4c0-40fd-916a-3ba9854a5bd9,Normal,Dragon
3352f51e-d3f2-487c-b938-6cef0e6d456e,Ground,nan
05110f8b-67c2-41d6-a804-4f1b09f9b8c9,Ghost,nan
1530986f-1510-43ed-b3a1-d60dae3656df,Poison,nan
2fe9671b-7714-4f35-9bf1-fe2225e58b81,Rock,Ground
61c63f05-193f-43d0-90cb-1c5d4aa460a8,Fighting,nan
baeb375e-d3f5-496c-8840-d6feb0be42d2,Normal,Fairy
393ae1af-ddf4-4bce-9201-32a2dcf33ceb,Normal,nan
e0a36a33-9100-4f21-a07c-c8e6eb8cfd65,Ghost,nan
bc3fb6db-925f-499b-b60e-028b60c2c209,Water,Electric
753baf56-0371-4748-8aa5-2f931c89a940,Fire,Normal
70056138-c7e1-4c4b-ae6c-6bfec3d1b555,Electric,nan
e4038a6d-57ce-40ff-974b-9d99c274d115,Normal,nan
957931ff-de98-470c-b33b-7651ebf5410f,Dark,Fighting
e7cdbcd2-271d-47f2-b2aa-c12110c2ae86,Bug,Poison
63969125-d032-4796-8159-6b06c62a6daa,Water,Ground
efeaf00d-f229-4a3d-a822-78d28961d82d,Water,Flying
1db8f16f-782d-4288-b4b7-db80bc805dd6,Electric,nan
c5f0d6e3-00af-4b1e-b11a-a6e378cae85e,Grass,nan
3948d419-199b-4a68-8f65-780868338990,Ghost,Poison
bd46351d-3993-4bcd-ac4a-c205169e489d,Normal,nan
408fc8ac-ac0c-47a5-92fd-5f92b6aaf168,Fairy,nan
51eaebf3-b843-4092-b192-50a040c20cb7,Normal,nan
a5c3ec57-6f76-4d06-b465-a96254cebd4a,Fairy,nan
7f7f9bb1-9b2d-40ec-b055-fe6a83e59d97,Fire,nan
702a00fa-0d5e-49ad-b44f-f6e05164502e,Psychic,Flying
f4914e27-2611-48a7-91fd-aadf30658e8a,Bug,nan
3e15b983-7510-4e90-85b9-a35a5146cfba,Fire,nan
f798ff42-c438-45ea-9908-bc70ada4a25e,Water,Fairy
90dbc97b-70b2-4afc-b46b-0aac29f50fb2,Dark,Dragon
4427d154-4780-4107-8ca4-839472e370d8,Ice,nan
2289e389-3642-4690-b1bb-000376da8a9e,Grass,nan
ea883653-4427-44df-b397-dd8f9d564952,Fairy,nan
3ae7a006-3bdf-4d18-969d-d77eea6bd5da,Bug,Water
50703ade-6ceb-4e5f-b40d-56555c06d962,Fire,Fighting
8ef5ab3b-bc53-4ae9-a907-35f36c976e48,Dragon,Ground
a63370d1-8047-4ee7-9c64-1e1e92079848,Water,nan
b8860e7c-841a-4f48-807a-79c43cded1ba,Rock,Ice
33d33f92-89d0-4854-9155-a7242c3691ba,Fighting,Steel
f4236fa9-720f-460e-bf37-9188553f61e9,Rock,Ground
3bd11424-65fb-44f6-82f6-746734558355,Electric,nan
622ff1cc-40cc-40ac-af6b-3c9443e08678,Dark,Flying
05b51b81-8dd3-4c59-8aec-0b5d7e975364,Bug,Poison
1e573050-678f-4eec-99cf-a5835aebe90f,Steel,Ghost
96ba337e-5b31-48f6-882f-58d45daf395a,Ground,Dark
8fe6c920-75f9-43d8-84f5-805bc0d20418,Fighting,nan
c5e7f453-2b1a-4166-a8b9-050b9d233c06,Ground,Rock
0f166413-74d9-421f-b9cb-bdead3ea46ab,Bug,Flying
f2efa197-3d40-4843-9384-c568e61ac28f,Grass,nan
0d5c0b63-95b4-4293-97ba-6f1c41931df1,Dragon,nan
d96bdc07-6ca1-490c-add4-46c7c62b83b8,Psychic,Fairy
ccb7f831-9cd0-4045-80a4-0113de893fee,Electric,nan
23718f58-5309-4afb-8947-dff4804c53a3,Fire,nan
73fa057b-d58b-438d-84cd-69bc1fb6d621,Poison,Fire
882adbcd-d921-47d9-a1eb-bd1567f7f7cf,Fairy,nan
2b7b3daa-4f82-4a73-9d31-8591c19a9eb7,Psychic,nan
a14bb256-602f-4962-b509-6c1ba4092be7,Normal,Ground
f1f78106-400b-48af-a6ae-3bd5c0f878b5,Normal,nan
ba7498dc-14bb-431d-9622-fbcc3f937dfe,Normal,Flying
b1621309-f3cb-4789-a675-912e25dda2b1,Water,Fairy
e3c8fd8a-301e-4d6e-a9b4-4b5b5509c8e1,Steel,Dragon
3d88df7d-b135-4e18-9192-633e875c1276,Bug,nan
ba4cc7d7-9281-473a-bf45-c6e27a727b86,Grass,Fairy
5095591d-195b-4919-b816-01788fb8f7ee,Psychic,Fighting
f9a86ddf-8da0-4fb3-8e05-2ec7a022be94,Grass,Flying
a9abafd6-9701-40f6-935e-0cd95fc36022,Normal,nan
81a3b2a4-7a45-48a0-a5bc-6167282d8409,Psychic,nan
bb025246-e101-4bd9-ac24-c08e723382a4,Grass,Fairy
db91b0f1-904a-4814-b3c4-3c9fa2e87037,Psychic,Flying
cb8852fb-cc74-4af8-a7ac-6df2ce551ab2,Rock,Flying
5d64686d-89b2-4913-8976-c9b4e8908bec,Flying,Dragon
d5211633-46a1-4b5a-a8db-6684d40b5e46,Water,nan
5d0f5299-e7ad-444e-b4e0-c6eb90aa5234,Normal,nan
2c8ee7fd-e392-46ab-a6ef-2401241d5410,Dark,Ghost
1687fc35-e5ab-44da-9a8c-f4fb932693da,Normal,nan
b12f46b2-9487-4875-aa78-dc3ef560a7c9,Psychic,nan
2f4de33b-5d98-432e-b591-936aee8cf0ee,Electric,nan
d5949159-3d2a-4352-8e08-5ea64a8f3588,Normal,nan
73ff27ff-b0ad-4026-a0e6-d4c3383fdfe0,Normal,nan
5576d56d-aa0d-4541-993c-ebb526d1e5ec,Poison,Water
cb30c369-17ed-49f6-8e0c-c7b12c9ece28,Rock,Bug
bf0fd3b6-a96a-4117-8a38-7b646423500b,Bug,nan
e0284331-c983-4875-af61-925e306684e2,Dragon,nan
05c036ba-a8a9-462e-803d-89522aa79d1a,Grass,nan
e6981616-1f27-41bf-97a1-a84f11096ad7,Dark,Dragon
15d71e7d-3ff9-40b0-a74c-af82de4d2b26,Poison,nan
e19f17af-0a00-4594-b87b-58a55ceea041,Rock,Dragon
5b917fe8-1c1c-4779-b16a-1148644c228b,Normal,Flying
81daa1ad-1d3c-4757-9a70-d4670d80063d,Water,Ground
98c4bfa7-bfa8-417d-85c3-e65cb7ecd85a,Fighting,nan
b9cc00d3-8787-477e-91eb-9131e7ab1094,Fighting,nan
6e44980b-ba83-4c3e-be06-1ea480e64bf3,Bug,nan
41e8e902-438a-49ec-b819-4863d0aedf6a,Grass,Dark
bd5d116b-a999-43d9-b199-b427a7f363b2,Normal,Fairy
36fa2da7-c20e-4740-9a66-75644e6f6be1,Water,Poison
bf6a6b0c-a487-41be-ae9d-acde20959bc9,Rock,Flying
98d5c819-87d4-4a9f-95dd-22ff545e5163,Psychic,nan
2192ae0a-5087-4841-a9f8-135710bf54d8,Poison,nan
94130737-c271-4a13-a14e-89d6c81b8f01,Ghost,Dragon
c903fb3b-4fb9-45d9-a3d9-f382a4b9f576,Normal,nan
65d555eb-5943-4b82-a422-9c6b777f3507,Poison,Flying
176bf464-2ac9-4178-85f0-206ad00ea248,Normal,nan
59bad2c9-eb39-4105-8e2c-d3e14894006e,Fairy,nan
be54821c-1668-4ce4-92e7-b357bf39071b,Water,Ice
54f420a8-cd08-4718-97be-02b39c171721,Water,Flying
a143d677-6d8a-409e-8d91-9ea8e38df9d2,Ice,Water
e0e48ceb-dfad-4c4d-a58f-72d3cf093f67,Dark,Ice
5d87c268-e8c7-48f9-abf0-8ec4457dba1d,Normal,nan
e40e22ac-4ff4-4bb9-98df-47a2b51bae19,Poison,Dark
b562ac2b-7deb-4c78-9e42-0cc031c616d9,Normal,Water
e4c3c1b7-8f52-4a22-93a8-184cf0cbe70a,Normal,nan
3a10ea21-3c41-4a60-b4e3-0b7653abb8cd,Water,nan
9a96287f-e1d4-4c78-a93a-6f1a4a3598e2,Psychic,nan
6d962acd-1b80-4e87-b4c4-0c721898d541,Dark,Fire
b5a21492-80a7-47f7-9e01-a2d9bedf28b7,Poison,nan
ad0c9100-59be-4bba-9cdf-ce931e005d0c,Fire,Flying
4931de7c-a3a2-41bb-8fd8-a63534152f5c,Bug,Poison
ff17afc5-b6c1-4bea-8a6e-2ef579f246c7,Water,nan
99f9815a-0dce-4ac8-a6df-62fccd1115dc,Grass,Poison
94ae939f-df6b-4179-a4ff-c22cc9a44f16,Water,nan
5edfa979-072e-4177-a539-5ecb912cd815,Ghost,Fairy
2447cde6-ef80-4bcc-8e49-29215760e0d5,Bug,nan
ba1b9cca-11d8-497b-8fba-fd02211d42b4,Psychic,nan
877e3f1f-64dc-47a3-b8a7-25515c0ddb67,Normal,Flying
69592cd0-c4c5-4307-80f1-76e5e0762e65,Normal,nan
0ff115e3-4867-4f9a-9436-2ed5a648916a,Electric,nan
9f866ebb-fd01-432a-a8ee-2098b40e847d,Bug,Fighting
ff450738-6bf1-4126-bd86-bb703197eae5,Ground,nan
e3cc14ac-4ec3-4afe-a84a-ed5527af35a9,Normal,Psychic
957fa293-5008-4689-a415-b1669a1eb4af,Rock,Dragon
854a1bab-8f00-42db-b6d4-792b0855305c,Rock,Ground
4b103a16-247c-4cf7-9cd0-b844b7de8954,Dark,nan
9246f560-5581-467c-b9e4-5eeeee8ecca2,Electric,nan
68c92ba7-2f0e-4e9a-bd3f-bd03c5ab65f2,Ghost,Grass
9e2d4a3b-2caa-4d66-9924-0157848f6093,Psychic,nan
8321400a-3810-43a8-aa13-6c8d45484c79,Bug,Flying
d29b1713-8a8a-43a8-9e55-ee38c0ec22fc,Fire,nan
065d083f-5e6e-4edf-be99-2d66be2c5bc4,Grass,nan
a39a87a9-bc92-4df7-9ad1-8d60bdeeaa82,Ice,nan
70c80c8e-1b52-4481-a7f9-66bdf0d5594b,Rock,Steel
ebb1f0ae-3a8c-4611-ba64-b36873e38f72,Grass,Flying
31c759eb-f244-4293-babe-7f62d7e5ebe4,Grass,Fighting
b94eb1b6-c952-46a0-a667-b36a507261ec,Steel,nan
a5f679fd-ffb7-47ac-b60d-fcf4de89e5a4,Water,nan
3928ea82-d8c9-41e9-be81-4dea84d3c388,Grass,nan
bc5e7a95-3df7-48b1-9297-2983456ab618,Psychic,Fairy
479b8300-af91-441e-bb8c-562199e89496,Bug,nan
e2051155-d30b-4b1f-8175-8d99b1de32c3,Ice,nan
5000a8ec-f0f9-4f8d-8e12-3461a9850c7a,Water,nan
1a38baef-2d11-469e-b9e0-b9a9a182cc6c,Normal,nan
8acfbdd5-968f-4f67-a9be-9bc0298a5992,Psychic,nan
ef09f0a8-a92b-43c7-aa89-db3cc380d1f5,Fire,nan
5619e637-ae2d-40ed-9770-165ccc44fde9,Normal,nan
70e28bfd-43d3-4c82-8e32-c628634b2b93,Dragon,nan
31baf434-ae79-4177-8f6c-5354c2e5b13e,Normal,Psychic
b6d34776-e9a6-43fa-950e-56d1c5c5c106,Rock,Ground
082a4d7a-e3d1-4580-9aea-ed72cff8b015,Grass,Poison
a7874826-8a80-407b-a825-f567d9027d59,Ground,nan
839243b8-1e7b-49d7-a15b-5416ad81ea17,Ice,Flying
466df377-5351-4c3d-9fb0-c479fa6ef190,Poison,Dark
b3d3d613-2a9c-464c-9ea5-f1befecdf8dc,Bug,Flying
50451976-1a57-4095-a955-38d63999eadb,Fighting,nan
f6c1550a-17a7-4e91-90b3-e95356a9a370,Poison,Dark
acaea824-7dfd-4876-80cb-3568d8821ae0,Bug,Fighting
2a5976a6-b570-43b4-ba2e-8fa0e1b6144c,Bug,Flying
727957ab-ffc9-4af3-8ab4-16f28cdec413,Steel,Ghost
127b3829-f7d4-4de7-bf89-cbc7cd915e7d,Fire,nan
ca5cb430-710b-4435-b18e-b9fda3c6caee,Grass,nan
b5c9d109-1fb3-4704-b99d-ce1ee9a11416,Poison,Flying
e7be19d7-1985-4d2a-9008-13d9212a045f,Dark,nan
e1677e2a-3787-4a88-8d47-e0369805cb31,Psychic,nan
50d51390-1ddf-4497-a06e-5791dc9c7427,Ice,Ghost
a96d331f-ecdb-437b-9355-13002bfc87a7,Fire,Rock
fb126119-a74e-4fa9-ae14-7980c554730e,Rock,nan
41a78ab0-afa1-4e5d-ab72-7f8d914943b5,Bug,Steel
f87e946c-6566-4a64-9a6e-a8e3a4c0ffd3,Ground,Ghost
8920ab1d-5f0c-409b-925c-8f0c1247bd60,Electric,nan
b18ea3dd-0d50-4002-b719-4a500777d6b6,Rock,nan
69416c0f-50f3-46cd-b76d-a919689513e1,Grass,nan
800e3161-4039-4742-9c32-1acf3d4ceaca,Water,Ground
26b81890-1ff1-4077-a03f-93a59d7548fa,Bug,Steel
dcf5a980-1369-4fe9-9f77-11680d568c8e,Grass,Poison
15aed0d6-a71e-415e-99d4-7ccb00835a84,Ghost,nan
5ed27458-0b99-4593-8dcb-3d510a69d58e,Ice,Water
08cf09ac-d1e6-467d-810a-301014643027,Grass,nan
624b6446-b332-40d0-8057-7e044ca67cb0,Fire,nan
8902d1d7-fef7-4804-ad3a-a436c471794e,Normal,nan
c8bae9f5-f61e-4f21-9990-f2173610f9d4,Normal,nan
b19157bc-3fe3-496c-98ec-d318c885fdff,Normal,nan
2d63aa5d-4cf0-4020-8791-d13a765a4c37,Ice,nan
25febcf2-050f-4048-87c2-d56f868beb9c,Psychic,nan
cec14a9b-8722-43f1-90a7-ba6abce446f2,Normal,nan
43d53434-21f3-40e9-95d8-e1167c0d28d8,Normal,Flying
df5bb787-40bc-4f91-9973-12d30f7bfff8,Dark,Fire
d7f94c28-de17-4600-b758-e7a80bf96eb7,Electric,nan
6a042d76-7bd7-487b-8e9a-ebd8edf94c7d,Fire,nan
808148a3-a634-451b-a3a9-0641a3f53d29,Grass,Fairy
c5912d84-020d-454e-8b5e-d51bee725543,Water,nan
a94335f2-7120-434a-a309-f1637db2baf1,Normal,Fighting
3606459e-7249-4d2e-b54b-4df29f69aac9,Psychic,nan
79587931-37aa-42b6-a2b0-365056c71f2a,Rock,Steel
e370b428-abf4-4457-8350-a03819bc6953,Ground,Psychic
a9636b4f-f9fd-4e94-aec7-4121be1fea70,Water,nan
27807aef-ecf9-48cc-888a-b5c7b4aa92c4,Grass,nan
445dadde-ea7b-40a4-8195-b809467155cc,Dragon,Ground
dba53d4f-837d-423d-9296-dae9d5ed59dd,Grass,nan
fe7de85f-2f00-4e58-99f6-b8741e7e4781,Bug,Poison
df4b8fa9-5b40-46f6-b71a-0f83784e2f26,Psychic,nan
5208dc77-a2fa-464f-a947-9980abac8d2f,Water,Fairy
0d4f7f38-5165-4808-bca7-a271b7dfdad7,Water,nan
55e16fc6-9d0b-4bc3-ba78-b9dce2201eb3,Grass,nan
6568a8e9-8672-41a0-8f11-cc3115a0c629,Rock,Grass
b0e2dfe4-14df-441d-984a-466aeece18fa,Electric,nan
5b7543a1-bbc2-4bdf-bb3c-5b1349544523,Fire,Dark
f021e6ef-152e-4e65-8211-ed2d0fed12b4,Rock,Dark
e57e5468-e845-4c44-ae4b-c6fc33e8669b,Electric,Steel
50309bfe-12c2-46f0-b085-b6639926eda5,Steel,Psychic
fc3e1d51-6c37-4b87-9ec9-523921c848ec,Normal,nan
09fa7a33-33f2-4f1f-8d64-69efd82f02b6,Water,Flying
eb337f5b-8c6f-4bcc-b87d-6aa35dffbb35,Normal,Flying
9bf8955c-e6bc-400d-9956-2b42a25d4367,Normal,nan
7159037b-9852-451c-9c5b-d1b79bc54d1e,Bug,Fairy
c9f6bf3c-9c63-4278-bd88-517e13e10794,Grass,nan
6af61e31-9c9c-4a4a-9e95-461297b8055e,Electric,nan
29864558-2f15-4dae-b0d0-b39be78a44a8,Fire,Flying
e75eec01-6916-4ed1-9414-5e65f020cc93,Ground,Ghost
eb62a331-3f3a-4cd0-b498-7042939c2dad,Bug,nan
15d330c2-fd2b-4b9f-921c-56c812e3e5aa,Ground,nan
cd2453b5-7d83-4e6a-bd5a-adade24a7689,Rock,nan
35c68787-e8f4-4436-a7a1-26d6d7709cbf,Fire,Fighting
d44b3abe-2aa4-4c12-9b11-017f68303ad2,Grass,Psychic
4d473787-8a5e-4561-885b-69235a78c3a1,Electric,Steel
2dbe7139-c011-4797-b5eb-6b8f4ed7b77c,Bug,Water
c40fe40a-8b53-49af-af89-477b3745b0cd,Psychic,nan
9c908208-56e7-469d-9d73-284e39ea6108,Ground,nan
025b1e3e-c8c7-4da8-8917-44bdec6f28a1,Psychic,nan
a58467c8-95bb-49b7-9ed1-a751a53512ee,Fire,Psychic
96ba1dba-bc4b-4570-980b-2cb4bb5defa1,Water,Flying
550bdced-63ba-45b1-8d16-47d68870d117,Dark,Psychic
98559cc6-680c-43b2-9947-9645d35affe1,Grass,nan
1fb7d3d3-a7ef-43df-910c-672067b1f56f,Psychic,nan
d15ad7f9-c8f7-407c-8225-67b131bfe873,Ground,Flying
300f81d1-fb8c-481d-9fd5-901b516029b6,Bug,Grass
2b152c11-c4ce-4b37-8198-77513fce208c,Fighting,nan
66e19167-1586-49c3-b605-cc457f4074c2,Normal,nan
11fcbd0c-9504-4682-8c69-7d30647f8242,Rock,Psychic
47e59386-c8b6-45ef-947b-bd0be0d8fd2b,Water,Ground
11afccc9-a5f5-4ce0-ac40-a34f4c292fef,Electric,nan
23b97f35-f3cf-4779-9443-982e8708b873,Normal,nan
448a077a-aaca-4005-b0ad-690d0c73b1fe,Ice,Water
e74d1846-ee6b-4233-a07b-3b4040ca4f3c,Water,nan
8a619089-7d67-43a3-83b9-1996feda8826,Psychic,Fairy
627897f9-07ec-4088-bfc9-5948f772f538,Steel,nan
0681a7dd-cb8b-42ea-a2dc-e7c5d5075163,Fairy,nan
75a3df6e-c08b-42f3-ae68-94444bfe1a97,Fire,nan
882554b5-367b-488e-8ad1-95a9af617c0c,Normal,nan
a28d0d86-558d-449a-9dac-ae2ddb4787f7,Grass,nan
3010cb28-c7ea-4818-bf84-8f406bd169c9,Rock,Flying
00577bc5-c893-4ea3-952e-ce3c3d924111,Steel,Psychic
40535064-9fb9-43ea-9a66-5c305e68369b,Fairy,nan
83cee551-4671-4714-b64d-ffeb03a5c124,Water,nan
207ab591-b001-4ff9-a078-4b0df13e5b44,Water,nan
fb9da93d-b82c-4a3c-859f-ec5aeb4b9048,Fairy,nan
b761123c-3c1a-47be-b896-db6214dc4565,Grass,nan
74b791a8-0c8a-4b1c-a133-18775cc6cad4,Water,nan
0ea007ca-255b-4194-b437-2e4893816033,Steel,Psychic
4b8ea832-cc35-4d6c-99b1-d93ba9973b1d,Grass,nan
d7ac8b67-7161-49a8-886e-031f5d4cbed1,Poison,nan
14a6d064-9ce7-4c87-af41-3897a960a432,Water,Steel
359229e1-e9e8-4bfd-991f-d08c61f0c1b3,Fire,nan
d6e0fe2d-1eac-448f-99e7-6cb202072db3,Poison,nan
112fb969-153f-4cd8-b061-43ea2b53f185,Water,nan
b0d563fc-6b75-4962-85f1-739eed6adca5,Fighting,nan
bd4a8720-598f-40b4-b860-b0f02ea1bcff,Bug,Rock
ab664036-60c2-4f89-b2e9-ae62780a3755,Bug,Electric
7889abb0-0dc6-4e25-bb66-5104e77ba54d,Rock,Bug
68064703-9cfe-4df8-959a-8bbeff401441,Bug,Grass
ad5603bf-b23a-4431-9dce-e35fae276760,Water,nan
8fd433a6-c3ed-49c5-8a4c-3a430646e004,Water,Psychic
c422be7f-3a49-4d44-bec0-e2ac31ccd37a,Normal,nan
b70fe60a-e836-45f9-b3ae-ca18881d2113,Normal,Flying
42acb162-3bf7-48a6-8074-3f3199e9deec,Electric,Normal
438428b3-e28c-476b-a040-4e5f019a7018,Normal,Flying
3cb095b6-6015-406d-a154-40fc0750d691,Rock,Fairy
d872eb2c-9d95-4c65-b8f4-dcbb283a9585,Steel,nan
5c562c7a-69e2-4117-ae4c-afad026d5eb3,Normal,Flying
17ce6bda-ec82-46d4-ae6d-8a556add6504,Water,nan
9eebbe45-a1c3-433d-9c39-1a290c85d1cb,Normal,nan
a7f90508-765e-41ee-9c86-174a7a401f93,Water,Ground
f15a4fbb-16fd-45ad-8e89-adcc95a4eff1,Poison,nan
ffc8ed85-9af6-49cb-ae7f-1513538280f1,Ground,nan
cf7cff57-349c-4cf1-92b4-0df84e451157,Ground,Dark
ca563904-4132-4de5-bc71-7adab250630f,Steel,Flying
04133566-ded3-4927-91b8-94b6e3af4df2,Water,nan
f29aff83-0238-47ed-9baf-499fb9fcedfb,Fighting,nan
be34f6a7-5937-4ec9-b0c6-3cc5540ec36a,Water,Psychic
fe4dd751-f0d5-4714-adc9-81df5b436a8e,Fire,Ground
64809719-add9-40f3-b9f4-1daff2001ab7,Ice,nan
